20
45
0 1 2 823
1 1 3 83
2 1 4 845
3 1 5 856
4 1 6 78
5 1 7 637
6 1 8 573
7 1 15 864
8 1 19 307
9 2 18 494
10 3 4 314
11 4 7 220
12 4 12 653
13 4 15 559
14 5 7 301
15 5 16 528
16 5 17 89
17 5 19 197
18 6 9 392
19 6 17 578
20 7 8 841
21 7 11 153
22 7 13 129
23 7 18 418
24 8 14 694
25 8 19 588
26 9 10 981
27 9 11 573
28 9 15 412
29 10 16 414
30 10 17 702
31 11 16 235
32 11 18 498
33 13 15 548
34 13 18 91
35 15 18 577
36 15 19 185
37 15 20 665
38 16 17 442
39 16 19 493
40 17 19 159
41 17 20 756
42 18 19 713
43 18 20 813
44 19 20 315
